truesight_event_id,bhom_event_id,confidence,score,object_class,object_name,host,truesight_creation_time,bhom_creation_time,truesight_severity,bhom_severity,notification_group,matched_on
58893448,eps.1656268269.5959873844856864.e036bb47-7e4c-4c5f-ae3d-589b03bbff59,high,161,CONTROLM_Enterprise_Manager,Alert_id9534261,mqmtltruat01,2026-04-23T11:53:03+00:00,2026-04-23T09:53:03.881000+00:00,CRITICAL,CRITICAL,2003,"object_class,object,instance,host,object_to_instance,time<=3h,notification_group,severity,message_similarity>=0.9,message_time_fallback"
58893729,eps.1656268269.5960320383987820.1202957c-70f4-4002-813d-85647c30fad6,high,157,CONTROLM_Enterprise_Manager,Alert_id9534262,mizhliam02,2026-04-23T11:59:41+00:00,2026-04-23T09:59:41.083000+00:00,CRITICAL,CRITICAL,,"object_class,object,instance,host,object_to_instance,time<=3h,severity,message_similarity>=0.9,message_time_fallback"
58890612,eps.1656268269.5959570299165403.1310a110-e8c3-460a-8d5a-5e507f2d935d,low,63,CONTROLM_Enterprise_Manager,tsim_prod_rh8,mqzhlscmmf01,2026-04-23T11:04:24+00:00,2026-04-23T09:47:10.998000+00:00,CRITICAL,CRITICAL,11110,"object_class,host,time<=3h,severity"
58892723,eps.1656268269.5959004406885813.d01f5578-d9be-47af-a8b6-a4a73ed4ed29,high,158,NSK,TANDEM.EMS.H01,eplp1,2026-04-23T11:37:14+00:00,2026-04-23T09:37:14.427000+00:00,CRITICAL,INFO,1208,"object_class,object,instance,host,object_to_instance,time<=3h,notification_group,message_similarity>=0.9,message_time_fallback"
58892724,eps.1656268269.5958956593796741.12d67dee-f0f4-4643-b527-07f664beb333,high,158,NSK,TANDEM.EMS.H01,eplp1,2026-04-23T11:37:17+00:00,2026-04-23T09:37:17.301000+00:00,CRITICAL,INFO,1208,"object_class,object,instance,host,object_to_instance,time<=3h,notification_group,message_similarity>=0.9,message_time_fallback"
58892867,eps.1656268269.5959134538569212.d43e03a5-41dc-4c81-b5c2-6319b856d470,high,149,NSK,TANDEM.EMS.H01,eplp1,2026-04-23T11:40:15+00:00,2026-04-23T09:40:15.246000+00:00,CRITICAL,CRITICAL,1208,"object_class,object,instance,host,object_to_instance,time<=3h,notification_group,severity,message_similarity>=0.9"
58893414,eps.1656268269.5959860889783329.321a2120-5708-42a9-a0a6-1cabbb5721a7,high,149,NSK,TANDEM.EMS.H01,eplp1,2026-04-23T11:51:30+00:00,2026-04-23T09:51:30.819000+00:00,CRITICAL,CRITICAL,1208,"object_class,object,instance,host,object_to_instance,time<=3h,notification_group,severity,message_similarity>=0.9"
58891912,eps.1656268269.5959620362198488.ef421912-e51a-4eac-8e28-9e2878c22882,high,169,NT_SERVICES,Saferpay-Service SIXEndpointMonitorAgent on mtlpwsfpap04,mtlpwsfpap04,2026-04-23T11:19:07+00:00,2026-04-23T09:49:17.313000+00:00,CRITICAL,CRITICAL,1208,"object_class,object,instance,host,object_to_instance,time<=3h,notification_group,severity,message_signature,message_time_fallback"
58893286,eps.1656268269.5959620362198488.ef421912-e51a-4eac-8e28-9e2878c22882,high,169,NT_SERVICES,Saferpay-Service SIXEndpointMonitorAgent on mtlpwsfpap04,mtlpwsfpap04,2026-04-23T11:49:19+00:00,2026-04-23T09:49:17.313000+00:00,CRITICAL,CRITICAL,1208,"object_class,object,instance,host,object_to_instance,time<=3h,notification_group,severity,message_signature,message_time_fallback"
58892092,eps.1656268269.5959933276848859.345a650c-4457-4825-b7bf-76cfc2598f92,high,169,NT_SERVICES,Saferpay-Service SIXEndpointMonitorAgent on mtzhwsfpap03,mtzhwsfpap03,2026-04-23T11:23:10+00:00,2026-04-23T09:53:13.977000+00:00,CRITICAL,CRITICAL,1208,"object_class,object,instance,host,object_to_instance,time<=3h,notification_group,severity,message_signature,message_time_fallback"
58893449,eps.1656268269.5959933276848859.345a650c-4457-4825-b7bf-76cfc2598f92,high,169,NT_SERVICES,Saferpay-Service SIXEndpointMonitorAgent on mtzhwsfpap03,mtzhwsfpap03,2026-04-23T11:53:13+00:00,2026-04-23T09:53:13.977000+00:00,CRITICAL,CRITICAL,1208,"object_class,object,instance,host,object_to_instance,time<=3h,notification_group,severity,message_signature,message_time_fallback"
58892350,538459f0-3cb1-4790-98fb-7d88af06242d,high,132,NUK_CPU,NUK_CPU,sicdes8,2026-04-23T11:29:18+00:00,2026-04-23T09:47:39+00:00,CRITICAL,MINOR,4007,"object_class,object,instance,metric_name,object_to_instance,time<=3h"
58893719,21bf60ad-768d-40bd-8032-61d9c6f35f4a,high,135,NUK_Swap,dm-1,bmeipaprueba1,2026-04-23T11:59:03+00:00,2026-04-23T09:41:39+00:00,CRITICAL,CRITICAL,4005,"object_class,object,instance,metric_name,object_to_instance,time<=3h,severity"
58890566,21bf60ad-768d-40bd-8032-61d9c6f35f4a,high,135,NUK_Swap,dm-1,sftsfpr-zl-p01,2026-04-23T11:03:56+00:00,2026-04-23T09:41:39+00:00,CRITICAL,CRITICAL,4005,"object_class,object,instance,metric_name,object_to_instance,time<=3h,severity"
58890734,eps.1656268269.5959438552900857.becfd0c6-8742-4400-b493-9a76e860f9e0,high,169,SCOM_CONNECT,mdzhwsfpap02.tkcdev.com,mdzhwsfpap02,2026-04-23T11:07:17+00:00,2026-04-23T09:45:19.467000+00:00,CRITICAL,CRITICAL,2016,"object_class,object,instance,host,object_to_instance,time<=3h,notification_group,severity,message_signature,message_time_fallback"
58892271,eps.1656268269.5959438552900857.becfd0c6-8742-4400-b493-9a76e860f9e0,high,169,SCOM_CONNECT,mdzhwsfpap02.tkcdev.com,mdzhwsfpap02,2026-04-23T11:27:18+00:00,2026-04-23T09:45:19.467000+00:00,CRITICAL,CRITICAL,2016,"object_class,object,instance,host,object_to_instance,time<=3h,notification_group,severity,message_signature,message_time_fallback"
58893102,eps.1656268269.5959438552900857.becfd0c6-8742-4400-b493-9a76e860f9e0,high,169,SCOM_CONNECT,mdzhwsfpap02.tkcdev.com,mdzhwsfpap02,2026-04-23T11:45:20+00:00,2026-04-23T09:45:19.467000+00:00,CRITICAL,CRITICAL,2016,"object_class,object,instance,host,object_to_instance,time<=3h,notification_group,severity,message_signature,message_time_fallback"
58892743,eps.1656268269.5958987985595606.e9ffe656-ae10-4ebf-bd82-8db55a0eb5db,high,169,SMTP-CABUM,Link to TWINT Issuer (ZKB),dps-mail,2026-04-23T11:37:46+00:00,2026-04-23T09:37:48.693000+00:00,CRITICAL,CRITICAL,1208,"object_class,object,instance,host,object_to_instance,time<=3h,notification_group,severity,message_signature,message_time_fallback"
58892613,eps.1656268269.5958784522402539.cde2bd27-234e-4048-a311-0336485fd549,high,169,SMTP-CABUM,"OTIS-Link ZKB (P-ID: 34 / S-ID: 340, 341)",dps-mail,2026-04-23T11:34:45+00:00,2026-04-23T09:34:54.330000+00:00,CRITICAL,CRITICAL,1208,"object_class,object,instance,host,object_to_instance,time<=3h,notification_group,severity,message_signature,message_time_fallback"
